State,Code,Name,Type,Visitors
NY,STLI,Statue Of Liberty National Monument,National Monument,4501547.0
DC,FRDE,Franklin Delano Roosevelt Memorial,National Memorial,4360502.0
CA,SAFR,San Francisco Maritime National Historical Park,National Historical Park,4334752.0
UT,ZION,Zion National Park,National Park,4295127.0
WY,YELL,Yellowstone National Park,National Park,4257177.0
DC,KOWA,Korean War Veterans Memorial,National Memorial,4084298.0
PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,3677744.0
DC,MLKM,"Martin Luther King, Jr., Memorial",Other Designation,3638208.0
DC,JEFM,Thomas Jefferson Memorial,National Memorial,3414345.0
WA,OLYM,Olympic National Park,National Park,3390221.0
VA,COLO,Colonial National Historical Park,National Historical Park,3352656.0
ME,ACAD,Acadia National Park,National Park,3303393.0
WY,GRTE,Grand Teton National Park,National Park,3270076.0
UT,GLCA,Glen Canyon National Recreation Area,National Recreation Area,3239525.0
MT,GLAC,Glacier National Park,National Park,2946681.0
GA,CHAT,Chattahoochee River National Recreation Area,National Recreation Area,2736385.0
MA,BOST,Boston National Historical Park,National Historical Park,2594495.0
